foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_name,foil_name,old_grad_raw,foil_grad_raw,old_grad_ratio,foil_grad_ratio,old_linear_score,foil_linear_score,raw_grad_accuracy,ratio_grad_accuracy,linear_probe_accuracy
novel,1,1,1,1,Adecorativem2.jpg,tuba1.jpg,15.934287071228027,16.441225051879883,0.2772408127784729,0.28904950618743896,0.2592719631347294,0.3024996948316047,1.0,1.0,0.0
novel,1,2,1,1,26372390.thl.jpg,Astool76.jpg,23.31464195251465,24.244102478027344,0.3513962924480438,0.33394765853881836,0.9460330210203258,0.9231592727297705,1.0,0.0,1.0
novel,1,3,1,1,Ametalstool2.jpg,Abells3.jpg,16.273195266723633,20.649124145507812,0.26580673456192017,0.3066176474094391,0.9640868735223594,0.9292019794177766,1.0,1.0,1.0
novel,1,4,1,1,ABACCAMEL.jpg,APOTPBAG2.jpg,25.564800262451172,25.63995933532715,0.3087805211544037,0.32420721650123596,0.9995837944761479,0.9935808580128253,1.0,1.0,1.0
novel,1,5,1,1,AMIXER.jpg,AHARPSIC5.jpg,21.59246826171875,27.024154663085938,0.29437270760536194,0.3837968111038208,0.9885276040516716,0.9713143883014606,1.0,1.0,1.0
novel,1,6,1,1,ABPIECE2.jpg,26392231.thl.jpg,17.9401798248291,19.949853897094727,0.28857317566871643,0.3365330696105957,0.7409930361503247,0.9980573259050901,1.0,1.0,0.0
novel,1,7,1,1,ASTEAMER4.jpg,26420979.thl.jpg,15.238497734069824,16.147560119628906,0.27886584401130676,0.29578375816345215,0.04151781312241623,0.2720622928869818,1.0,1.0,0.0
novel,1,8,1,1,Adiamondring3.jpg,Abeesonahoney.jpg,20.63612937927246,33.346248626708984,0.28692880272865295,0.3921678960323334,0.9968950808417277,0.9981654832861816,1.0,1.0,0.0
novel,1,9,1,1,Arecyclingbox.jpg,AMIXER1.jpg,18.701284408569336,18.1235294342041,0.2763059437274933,0.31497204303741455,0.9850969947507109,0.6572420843452149,0.0,1.0,1.0
novel,1,10,1,1,ACLSIGN2.jpg,Aspeakers4.jpg,23.526180267333984,19.570911407470703,0.3025433421134949,0.29582640528678894,0.9955385310965408,0.957313600136803,0.0,0.0,1.0
novel,1,11,1,1,moistureproduct.jpg,hockeypuck.jpg,17.70734977722168,22.298381805419922,0.2711940407752991,0.35652026534080505,0.9938256824286648,0.9942949590338827,1.0,1.0,0.0
novel,1,12,1,1,ATURKEY11.jpg,26373844.thl.jpg,20.62346076965332,19.238195419311523,0.28632211685180664,0.3016693592071533,0.9701268114987741,0.7537073456369647,0.0,1.0,1.0
novel,1,13,1,1,Astaircase2.jpg,Astrawfan.jpg,21.535175323486328,22.312299728393555,0.28242653608322144,0.35138919949531555,0.9057271074844684,0.5266676979425297,1.0,1.0,1.0
novel,1,14,1,1,Afeatherhat.jpg,26377601.thl.jpg,28.88990020751953,15.137852668762207,0.3029841184616089,0.3061556816101074,0.9997607750465255,0.9979339291300524,0.0,1.0,1.0
novel,1,15,1,1,ABORKEHOR.jpg,APEPPSHA4.jpg,16.97381019592285,15.421553611755371,0.2744186222553253,0.27140581607818604,0.4801829762675345,0.08572868445984302,0.0,0.0,1.0
