split,pair_id,episode_index,sequence_length,foil_type,category,exemplar_id,is_old,image_key
heldout,heldout_novel_ep00001_pair001,1,15,novel,00174_breadstick,0,1,heldout::00174_breadstick::exemplar_0
heldout,heldout_novel_ep00001_pair001,1,15,novel,00104_beetle,0,0,heldout::00104_beetle::exemplar_0
heldout,heldout_novel_ep00001_pair002,1,15,novel,00144_bone,0,1,heldout::00144_bone::exemplar_0
heldout,heldout_novel_ep00001_pair002,1,15,novel,00057_balloon,0,0,heldout::00057_balloon::exemplar_0
heldout,heldout_novel_ep00001_pair003,1,15,novel,00041_asparagus,0,1,heldout::00041_asparagus::exemplar_0
heldout,heldout_novel_ep00001_pair003,1,15,novel,00008_airbag,0,0,heldout::00008_airbag::exemplar_0
heldout,heldout_novel_ep00001_pair004,1,15,novel,00033_aquarium,0,1,heldout::00033_aquarium::exemplar_0
heldout,heldout_novel_ep00001_pair004,1,15,novel,00152_bottle,0,0,heldout::00152_bottle::exemplar_0
heldout,heldout_novel_ep00001_pair005,1,15,novel,00124_blender,0,1,heldout::00124_blender::exemplar_0
heldout,heldout_novel_ep00001_pair005,1,15,novel,00090_bead,0,0,heldout::00090_bead::exemplar_0
heldout,heldout_novel_ep00001_pair006,1,15,novel,00080_bat2,0,1,heldout::00080_bat2::exemplar_0
heldout,heldout_novel_ep00001_pair006,1,15,novel,00108_belt_buckle,0,0,heldout::00108_belt_buckle::exemplar_0
heldout,heldout_novel_ep00001_pair007,1,15,novel,00169_bracket,0,1,heldout::00169_bracket::exemplar_0
heldout,heldout_novel_ep00001_pair007,1,15,novel,00094_beanie,0,0,heldout::00094_beanie::exemplar_0
heldout,heldout_novel_ep00001_pair008,1,15,novel,00154_bouquet,0,1,heldout::00154_bouquet::exemplar_0
heldout,heldout_novel_ep00001_pair008,1,15,novel,00072_barrel,0,0,heldout::00072_barrel::exemplar_0
heldout,heldout_novel_ep00001_pair009,1,15,novel,00198_burner,0,1,heldout::00198_burner::exemplar_0
heldout,heldout_novel_ep00001_pair009,1,15,novel,00006_air_mattress,0,0,heldout::00006_air_mattress::exemplar_0
heldout,heldout_novel_ep00001_pair010,1,15,novel,00036_armor,0,1,heldout::00036_armor::exemplar_0
heldout,heldout_novel_ep00001_pair010,1,15,novel,00106_bell_pepper,0,0,heldout::00106_bell_pepper::exemplar_0
heldout,heldout_novel_ep00001_pair011,1,15,novel,00160_bowling_ball,0,1,heldout::00160_bowling_ball::exemplar_0
heldout,heldout_novel_ep00001_pair011,1,15,novel,00125_blimp,0,0,heldout::00125_blimp::exemplar_0
heldout,heldout_novel_ep00001_pair012,1,15,novel,00141_bologna,0,1,heldout::00141_bologna::exemplar_0
heldout,heldout_novel_ep00001_pair012,1,15,novel,00050_badge,0,0,heldout::00050_badge::exemplar_0
heldout,heldout_novel_ep00001_pair013,1,15,novel,00035_arm,0,1,heldout::00035_arm::exemplar_0
heldout,heldout_novel_ep00001_pair013,1,15,novel,00054_bagpipe,0,0,heldout::00054_bagpipe::exemplar_0
heldout,heldout_novel_ep00001_pair014,1,15,novel,00059_bamboo,0,1,heldout::00059_bamboo::exemplar_0
heldout,heldout_novel_ep00001_pair014,1,15,novel,00095_bear,0,0,heldout::00095_bear::exemplar_0
heldout,heldout_novel_ep00001_pair015,1,15,novel,00071_barnacle,0,1,heldout::00071_barnacle::exemplar_0
heldout,heldout_novel_ep00001_pair015,1,15,novel,00170_braid,0,0,heldout::00170_braid::exemplar_0
heldout,heldout_exemplar_ep00002_pair001,2,28,exemplar,00024_ant,0,1,heldout::00024_ant::exemplar_0
heldout,heldout_exemplar_ep00002_pair001,2,28,exemplar,00024_ant,1,0,heldout::00024_ant::exemplar_1
heldout,heldout_exemplar_ep00002_pair002,2,28,exemplar,00151_boot,0,1,heldout::00151_boot::exemplar_0
heldout,heldout_exemplar_ep00002_pair002,2,28,exemplar,00151_boot,1,0,heldout::00151_boot::exemplar_1
heldout,heldout_exemplar_ep00002_pair003,2,28,exemplar,00038_artichoke,0,1,heldout::00038_artichoke::exemplar_0
heldout,heldout_exemplar_ep00002_pair003,2,28,exemplar,00038_artichoke,1,0,heldout::00038_artichoke::exemplar_1
heldout,heldout_exemplar_ep00002_pair004,2,28,exemplar,00041_asparagus,0,1,heldout::00041_asparagus::exemplar_0
heldout,heldout_exemplar_ep00002_pair004,2,28,exemplar,00041_asparagus,1,0,heldout::00041_asparagus::exemplar_1
heldout,heldout_exemplar_ep00002_pair005,2,28,exemplar,00169_bracket,0,1,heldout::00169_bracket::exemplar_0
heldout,heldout_exemplar_ep00002_pair005,2,28,exemplar,00169_bracket,1,0,heldout::00169_bracket::exemplar_1
heldout,heldout_exemplar_ep00002_pair006,2,28,exemplar,00171_brake,0,1,heldout::00171_brake::exemplar_0
heldout,heldout_exemplar_ep00002_pair006,2,28,exemplar,00171_brake,1,0,heldout::00171_brake::exemplar_1
heldout,heldout_exemplar_ep00002_pair007,2,28,exemplar,00117_birdcage,0,1,heldout::00117_birdcage::exemplar_0
