run_index,seed,trial_index,unique_study_items,study_presentations,target_name,foil_name,target_choice_index,foil_choice_index,old_loss_raw,foil_loss_raw,old_grad_raw,foil_grad_raw,old_loss_ratio,foil_loss_ratio,old_grad_ratio,foil_grad_ratio,old_linear_score,foil_linear_score,raw_loss_accuracy,raw_grad_accuracy,ratio_loss_accuracy,ratio_grad_accuracy,linear_probe_accuracy
1,13,1,12,24,gardeningshovel1.jpg,gardeningshovel2.jpg,1,0,1.4771628379821777,1.4180024862289429,0.5452729612588882,0.4987015500664711,0.02499902193158616,0.02558090190869081,0.00908075350190987,0.008831615924412521,0.5586304592674047,0.5636276569003567,0.0,0.0,1.0,0.0,0.0
1,13,2,12,24,fan2.jpg,fan1.jpg,1,0,1.5160273313522339,1.5386972427368164,0.5572530925273895,0.5893409177660942,0.023882807795680843,0.02298637150752474,0.009233917965914523,0.0089588314715821,0.5445519404642155,0.5458662630822897,1.0,1.0,0.0,0.0,0.0
1,13,3,12,24,starfish1.jpg,starfish2.jpg,1,0,1.562003254890442,1.5317096710205078,0.5357208624482155,0.5611402243375778,0.026648650188893466,0.030817224763134015,0.009082163477951865,0.011049323371021096,0.583458609457235,0.5823714605306882,0.0,1.0,1.0,1.0,1.0
1,13,4,12,24,tractor2.jpg,tractor1.jpg,0,1,1.4380459785461426,1.499211311340332,0.45398490875959396,0.5143333151936531,0.018900236712279618,0.02051480669327691,0.006024669374814931,0.007193552007687452,0.553710210689123,0.5525276937479872,1.0,1.0,1.0,1.0,1.0
1,13,5,12,24,citroen1.jpg,citroen2.jpg,1,0,1.5903820991516113,1.5887348651885986,0.6658335328102112,0.8595032542943954,0.01976081101959848,0.017131402524787634,0.008676094028945891,0.009720625874158655,0.5251237786311411,0.48434371650734903,0.0,1.0,0.0,1.0,1.0
1,13,6,12,24,grandpiano2.jpg,grandpiano1.jpg,1,0,1.5687448978424072,1.6197848320007324,0.48244117945432663,0.6013061925768852,0.022802691896870154,0.022462957164172022,0.007151313944521675,0.008687523881094153,0.5830275685854714,0.553487992295055,1.0,1.0,0.0,1.0,1.0
1,13,7,12,24,doorway2.jpg,doorway1.jpg,0,1,1.352948546409607,1.5016967058181763,0.38285237550735474,0.5673108771443367,0.02443752304352543,0.022922117662090194,0.00668659312379955,0.008349074506759056,0.5905847750508595,0.556777984940128,1.0,1.0,0.0,1.0,1.0
1,13,8,12,24,calculator2.jpg,calculator1.jpg,0,1,1.5412278175354004,1.4886658191680908,0.9626059532165527,0.8402714505791664,0.022125674639840758,0.022513660532811064,0.013754007469956895,0.013259457174053614,0.4443109425569649,0.4459616804006864,0.0,0.0,1.0,0.0,0.0
1,13,9,12,24,tongs2.jpg,tongs1.jpg,1,0,1.4481765031814575,1.4742045402526855,0.40763504058122635,0.5235452204942703,0.02305775603966168,0.021458201039741925,0.006481107652114673,0.007619915151277987,0.5881848658995245,0.5519346783379889,1.0,1.0,0.0,1.0,1.0
1,13,10,12,24,sunglasses2.jpg,sunglasses1.jpg,1,0,1.4889284372329712,1.5421708822250366,0.416433684527874,1.4193878918886185,0.02215279091516078,0.02252118685638057,0.006187488316515901,0.020697640411158007,0.5886210654389281,0.31677590302616176,1.0,1.0,1.0,1.0,1.0
